#한 행이 하나다. 여러 파일 여러 배열에 흩어져 있던 것을 모은 것.
#값은 소스에 적힌 글자 그대로다. 이름을 숫자로 바꾸지 않는다.
#id는 계약이다. 중간에 끼우지 말고 항상 맨 끝에 (content/README.md).
#\N은 그 배열에 이 번호가 없다는 뜻이다.
id	enum_name	label	box_gold	box_color
0			10000	0xDBBA8F
1			500000000	0xF3D58F
2			50000	0x00FF00
3			100000	0x54BBF7
4			200000	0xF8DFA8
5			6000000	0x888D6D
6			100000000	0xFFFFFF
7			500000	0xB9F3FD
8			1000000	0xD9F567
9			2000000	0xF56A15
10			3500000	0xFFFFFF
11			10000000	0x511C6B
12			35000000	0xFDCE4D
13			15000000	0xC5B9AE
14			23000000	0xFCE9BD
15			70000000	0x5E4272
16			50000000	0x592965
17			150000000	0xFFFFFF
18			300000000	0xFFFFFF
