#한 행이 한 마리다. 지금 3개 파일 10개 배열에 흩어져 있는 것을 모은 것.
#id는 OBJECT.type 이다. 0~2는 히어로(검사/거너/헌터), 3부터가 몬스터.
#값은 소스에 적힌 글자 그대로다. 이름을 숫자로 바꾸지 않는다.
#id는 계약이다. 중간에 끼우지 말고 항상 맨 끝에 붙일 것 (content/README.md).
#\N은 그 배열에 이 번호가 없다는 뜻이다(monXYGap은 3번부터 시작).
id	enum_name	label	cmf	star	move_handler	draw_handler	add_hp	add_exp	xpos	ypos	stat_hp	stat_str	stat_def	zoom	icon_zoom	boss_zoom	ap_kind	ap_cnt	ap0_0	ap0_1	ap0_2	ap0_3	ap0_4	ap0_5	ap1_0	ap1_1	ap1_2	ap1_3	ap1_4	ap1_5	ap2_0	ap2_1	ap2_2	ap2_3	ap2_4	ap2_5	pose_motion	pose_frames	pose_x	pose_y	home_castle	bigicon_motion	bigicon_x	bigicon_y	skillicon_motion	skillicon_x	skillicon_y	gap_x	gap_y
0		검사	ROBIN	STAR8	PLAYERMOVE	PLAYERDRAW	0	0	TSIZE	TSIZE * 2	0	0	0	1.2f	1.0f	3.0f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	CASTLE_TOLEM	0	0	0	0	0	0	\N	\N
1		거너	DIANA	STAR8	PLAYERMOVE	PLAYERDRAW	0	0	TSIZE	TSIZE * 2	0	0	0	1.2f	1.0f	3.0f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	CASTLE_TOLEM	0	0	0	0	0	0	\N	\N
2		헌터	MAXX	STAR8	PLAYERMOVE	PLAYERDRAW	0	0	TSIZE	TSIZE * 2	0	0	0	1.2f	1.0f	3.0f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	CASTLE_TOLEM	0	0	0	0	0	0	\N	\N
3	ENEMY_SNAIL	가시껍질달팽이	CMF_SNAIL	STAR8	ENEMYMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 3	100	100	0	1.0f	1.0f	4.0f	SNAIL_NEUTRAL	60 * 1	SNAIL_MOVE_FAST	SNAIL_ATTACK	SNAIL_MOVE_FAST	SNAIL_NEUTRAL	1	16 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C3_N0	4	0 * _2X	0 * _2X	CASTLE_SWAMP	PO_C3_N0	0 * _2X	-0 * _2X	PO_C3_N0	0 * _2X	-4 * _2X	0	0
4	ENEMY_TREE	늪의 주인	CMF_TREE	STAR8	ENEMYMOVE	ENEMYDRAW	100	0	TSIZE	TSIZE * 9	200	100	0	0.7f	0.45f	2.0f	TREE_NEUTRAL	60 * 1	TREE_MOVE	TREE_ATTACK	TREE_MOVE	TREE_NEUTRAL	1	32 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C4_N0	4	0 * _2X	0 * _2X	CASTLE_SWAMP	PO_C4_N0	8 * _2X	-20 * _2X	PO_C4_N0	-4 * _2X	-18 * _2X	0	0
5	ENEMY_ONEEYE	아이볼	CMF_ONEEYE	STAR8	ENEMYMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 4	70	100	200	1.0f	1.0f	3.5f	ONEEYE_NEUTRAL	60 * 1	ONEEYE_MOVE	ONEEYE_MOVE	ONEEYE_MOVE	ONEEYE_NEUTRAL	1	15 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C6_N0	4	0 * _2X	0 * _2X	CASTLE_VALLEY	PO_C6_N0	0 * _2X	-0 * _2X	PO_C6_N0	1 * _2X	-6 * _2X	0	-TSIZE
6	ENEMY_SKELETON	칠흑의 기사	CMF_SKELETON	STAR8	ENEMYMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 6	100	150	300	1.0f	0.68f	3.0f	SKELETON_NEUTRAL	60 * 1	SKELETON_MOVE_FAST	SKELETON_ATTACK	SKELETON_MOVE	SKELETON_NEUTRAL	1	48 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C7_N0	4	0 * _2X	0 * _2X	CASTLE_VALLEY	PO_C7_N0	0 * _2X	-24 * _2X	PO_C7_N0	-4 * _2X	-28 * _2X	0	0
7	ENEMY_LIZARD	사하긴병사	CMF_LIZARD	STAR1	ENEMYMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 5	90	150	200	1.0f	0.8f	3.0f	LIZARD_NEUTRAL	60 * 1	LIZARD_MOVE_FAST	LIZARD_ATTACK	LIZARD_MOVE	LIZARD_NEUTRAL	1	52 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C10_N0	4	0 * _2X	0 * _2X	CASTLE_ATLANTICE	PO_C10_N0	4 * _2X	-12 * _2X	PO_C10_N0	1 * _2X	-16 * _2X	0	0
8	ENEMY_JELLYFISH	맹독해파리	CMF_JELLYFISH	STAR1	ENEMYMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 4	90	100	0	1.0f	1.0f	3.5f	JELLYFISH_NEUTRAL	60 * 1	JELLYFISH_MOVE	JELLYFISH_MOVE_FAST	JELLYFISH_MOVE	JELLYFISH_NEUTRAL	1	8 * _2X	0	0	0	0	0	0	0	0	0	0	0	0	PO_C9_N0	4	0 * _2X	0 * _2X	CASTLE_ATLANTICE	PO_C9_N0	0 * _2X	-4 * _2X	PO_C9_N0	-4 * _2X	-8 * _2X	0	-TSIZE
9	ENEMY_KNIGHT	타락한 기사	CMF_KNIGHT	STAR1	ENEMYMOVE	ENEMYDRAW	0	0	TSIZE	TSIZE * 5	100	100	300	1.0f	0.8f	3.5f	KNIGHT_NEUTRAL	60 * 1	KNIGHT_PLAYER_MOVE	KNIGHT_ATTACK	KNIGHT_MOVE	KNIGHT_NEUTRAL	1	48 * _2X	KNIGHT_PLAYER_MOVE	KNIGHT_GUARD	KNIGHT_GUARDED	KNIGHT_GUARDED	1	48 * _2X	0	0	0	0	0	0	PO_C32_N0	4	0 * _2X	0 * _2X	CASTLE_SEWAGE	PO_C32_N0	4 * _2X	-8 * _2X	PO_C32_N0	-8 * _2X	-20 * _2X	0	0
