#한 행이 하나다. 여러 파일 여러 배열에 흩어져 있던 것을 모은 것.
#값은 소스에 적힌 글자 그대로다. 이름을 숫자로 바꾸지 않는다.
#id는 계약이다. 중간에 끼우지 말고 항상 맨 끝에 (content/README.md).
#\N은 그 배열에 이 번호가 없다는 뜻이다.
id	enum_name	label	value
0			10
1			11
2			13
3			15
4			17
5			20
6			23
7			26
8			30
9			34
10			39
11			44
12			51
13			58
14			67
15			76
16			87
17			100
18			114
19			131
20			150
21			172
22			197
23			225
24			258
25			295
26			338
27			387
28			443
29			508
30			581
31			665
32			762
33			872
34			999
35			10
36			11
37			13
38			15
39			17
40			20
41			23
42			26
43			30
44			34
45			39
46			44
47			51
48			58
49			67
50			76
51			87
52			100
53			114
54			131
55			150
56			172
57			197
58			225
59			258
60			295
61			338
62			387
63			443
64			508
65			581
66			665
67			762
68			872
69			999
70			10
71			11
72			13
73			15
74			17
75			20
76			23
77			26
78			30
79			34
80			39
81			44
82			51
83			58
84			67
85			76
86			87
87			100
88			114
89			131
90			150
91			172
92			197
93			225
94			258
95			295
96			338
97			387
98			443
99			508
100			581
101			665
102			762
103			872
104			999
105			3
106			6
107			9
108			13
109			17
110			21
111			26
112			32
113			3
114			6
115			9
116			13
117			17
118			21
119			26
120			32
121			3
122			6
123			9
124			13
125			17
126			21
127			26
128			32
129			20
130			45
131			80
132			130
133			200
134			300
135			450
136			650
137			20
138			45
139			80
140			130
141			200
142			300
143			450
144			650
145			20
146			45
147			80
148			130
149			200
150			300
151			450
152			650
153			5
154			11
155			18
156			26
157			36
158			48
159			62
160			80
161			5
162			11
163			18
164			26
165			36
166			48
167			62
168			80
169			5
170			11
171			18
172			26
173			36
174			48
175			62
176			80
177			10
178			22
179			36
180			52
181			72
182			96
183			124
184			160
185			10
186			22
187			36
188			52
189			72
190			96
191			124
192			160
193			10
194			22
195			36
196			52
197			72
198			96
199			124
200			160
201			5
202			11
203			18
204			26
205			36
206			48
207			62
208			80
209			5
210			11
211			18
212			26
213			36
214			48
215			62
216			80
217			5
218			11
219			18
220			26
221			36
222			48
223			62
224			80
