#한 행이 하나다. 여러 파일 여러 배열에 흩어져 있던 것을 모은 것.
#값은 소스에 적힌 글자 그대로다. 이름을 숫자로 바꾸지 않는다.
#id는 계약이다. 중간에 끼우지 말고 항상 맨 끝에 (content/README.md).
#\N은 그 배열에 이 번호가 없다는 뜻이다.
id	enum_name	label	gold
0			11000
1			15000
2			21000
3			32000
4			52000
5			15000
6			20000
7			28000
8			42000
9			68000
10			20000
11			26000
12			37000
13			56000
14			90000
15			26000
16			34000
17			48000
18			72000
19			116000
20			34000
21			45000
22			63000
23			95000
24			152000
25			18000
26			24000
27			34000
28			51000
29			82000
30			24000
31			32000
32			45000
33			68000
34			109000
35			32000
36			42000
37			59000
38			89000
39			143000
40			42000
41			55000
42			77000
43			116000
44			186000
45			55000
46			72000
47			101000
48			152000
49			244000
50			32000
51			42000
52			59000
53			89000
54			143000
55			42000
56			55000
57			77000
58			116000
59			186000
60			55000
61			72000
62			101000
63			152000
64			244000
65			72000
66			94000
67			132000
68			198000
69			317000
70			94000
71			123000
72			173000
73			260000
74			416000
75			44000
76			58000
77			82000
78			123000
79			197000
80			58000
81			76000
82			107000
83			161000
84			258000
85			76000
86			99000
87			139000
88			209000
89			335000
90			99000
91			129000
92			181000
93			272000
94			436000
95			129000
96			168000
97			236000
98			354000
99			567000
100			55000
101			72000
102			101000
103			152000
104			244000
105			72000
106			94000
107			132000
108			198000
109			317000
110			94000
111			123000
112			173000
113			260000
114			416000
115			123000
116			160000
117			224000
118			336000
119			538000
120			160000
121			208000
122			292000
123			438000
124			701000
125			58000
126			76000
127			107000
128			161000
129			258000
130			76000
131			99000
132			139000
133			209000
134			335000
135			99000
136			129000
137			181000
138			272000
139			436000
140			129000
141			168000
142			236000
143			354000
144			567000
145			168000
146			219000
147			307000
148			461000
149			738000
150			69000
151			90000
152			126000
153			189000
154			303000
155			90000
156			117000
157			164000
158			246000
159			394000
160			117000
161			153000
162			215000
163			323000
164			517000
165			153000
166			199000
167			279000
168			419000
169			671000
170			199000
171			259000
172			363000
173			545000
174			872000
175			86000
176			112000
177			157000
178			236000
179			378000
180			112000
181			146000
182			205000
183			308000
184			493000
185			146000
186			190000
187			266000
188			399000
189			639000
190			190000
191			247000
192			346000
193			519000
194			831000
195			247000
196			322000
197			451000
198			677000
199			1084000
200			104000
201			136000
202			191000
203			287000
204			460000
205			136000
206			177000
207			248000
208			372000
209			596000
210			177000
211			231000
212			324000
213			486000
214			778000
215			231000
216			301000
217			422000
218			633000
219			1013000
220			301000
221			392000
222			549000
223			824000
224			1319000
225			116000
226			151000
227			212000
228			318000
229			509000
230			151000
231			197000
232			276000
233			414000
234			663000
235			197000
236			257000
237			360000
238			540000
239			864000
240			257000
241			335000
242			469000
243			704000
244			1127000
245			335000
246			436000
247			611000
248			917000
249			1468000
250			120000
251			156000
252			219000
253			329000
254			527000
255			156000
256			203000
257			285000
258			428000
259			685000
260			203000
261			264000
262			370000
263			555000
264			888000
265			264000
266			344000
267			482000
268			723000
269			1157000
270			344000
271			448000
272			628000
273			942000
274			1508000
275			125000
276			163000
277			229000
278			344000
279			551000
280			163000
281			212000
282			297000
283			446000
284			714000
285			212000
286			276000
287			387000
288			581000
289			930000
290			276000
291			359000
292			503000
293			755000
294			1208000
295			359000
296			467000
297			654000
298			981000
299			1570000
300			137000
301			179000
302			251000
303			377000
304			604000
305			179000
306			233000
307			327000
308			491000
309			786000
310			233000
311			303000
312			425000
313			638000
314			1021000
315			303000
316			394000
317			552000
318			828000
319			1325000
320			394000
321			513000
322			719000
323			1079000
324			1727000
325			143000
326			186000
327			261000
328			392000
329			628000
330			186000
331			242000
332			339000
333			509000
334			815000
335			242000
336			315000
337			441000
338			662000
339			1060000
340			315000
341			410000
342			574000
343			861000
344			1378000
345			410000
346			533000
347			747000
348			1121000
349			1794000
350			161000
351			210000
352			294000
353			441000
354			706000
355			210000
356			273000
357			383000
358			575000
359			920000
360			273000
361			355000
362			497000
363			746000
364			1194000
365			355000
366			462000
367			647000
368			971000
369			1554000
370			462000
371			601000
372			842000
373			1263000
374			2021000
375			167000
376			218000
377			306000
378			459000
379			735000
380			218000
381			284000
382			398000
383			597000
384			956000
385			284000
386			370000
387			518000
388			777000
389			1244000
390			370000
391			481000
392			674000
393			1011000
394			1618000
395			481000
396			626000
397			877000
398			1316000
399			2106000
400			180000
401			234000
402			328000
403			492000
404			788000
405			234000
406			305000
407			427000
408			641000
409			1026000
410			305000
411			397000
412			556000
413			834000
414			1335000
415			397000
416			517000
417			724000
418			1086000
419			1738000
420			517000
421			673000
422			943000
423			1415000
424			2264000
425			191000
426			249000
427			349000
428			524000
429			839000
430			249000
431			324000
432			454000
433			681000
434			1090000
435			324000
436			422000
437			591000
438			887000
439			1420000
440			422000
441			549000
442			769000
443			1154000
444			1847000
445			549000
446			714000
447			1000000
448			1500000
449			2400000
450			200000
451			260000
452			364000
453			546000
454			874000
455			260000
456			338000
457			474000
458			711000
459			1138000
460			338000
461			440000
462			616000
463			924000
464			1479000
465			440000
466			572000
467			801000
468			1202000
469			1924000
470			572000
471			744000
472			1042000
473			1563000
474			2501000
475			200000
476			260000
477			364000
478			546000
479			874000
480			260000
481			338000
482			474000
483			711000
484			1138000
485			338000
486			440000
487			616000
488			924000
489			1479000
490			440000
491			572000
492			801000
493			1202000
494			1924000
495			572000
496			744000
497			1042000
498			1563000
499			2501000
500			204000
501			266000
502			373000
503			560000
504			896000
505			266000
506			346000
507			485000
508			728000
509			1165000
510			346000
511			450000
512			630000
513			945000
514			1512000
515			450000
516			585000
517			819000
518			1229000
519			1967000
520			585000
521			761000
522			1066000
523			1599000
524			2559000
525			212000
526			276000
527			387000
528			581000
529			930000
530			276000
531			359000
532			503000
533			755000
534			1208000
535			359000
536			467000
537			654000
538			981000
539			1570000
540			467000
541			608000
542			852000
543			1278000
544			2045000
545			608000
546			791000
547			1108000
548			1662000
549			2660000
550			214000
551			279000
552			391000
553			587000
554			940000
555			279000
556			363000
557			509000
558			764000
559			1223000
560			363000
561			472000
562			661000
563			992000
564			1588000
565			472000
566			614000
567			860000
568			1290000
