#한 행이 하나다. 여러 파일 여러 배열에 흩어져 있던 것을 모은 것.
#값은 소스에 적힌 글자 그대로다. 이름을 숫자로 바꾸지 않는다.
#id는 계약이다. 중간에 끼우지 말고 항상 맨 끝에 (content/README.md).
#\N은 그 배열에 이 번호가 없다는 뜻이다.
id	enum_name	label	gold
0			10000
1			20000
2			30000
3			50000
4			70000
5			100000
6			120000
7			150000
8			180000
9			200000
10			10000
11			20000
12			30000
13			50000
14			70000
15			100000
16			120000
17			150000
18			180000
19			200000
20			10000
21			20000
22			30000
23			50000
24			70000
25			100000
26			120000
27			150000
28			180000
29			200000
30			10000
31			20000
32			30000
33			50000
34			70000
35			100000
36			120000
37			150000
38			180000
39			200000
40			10000
41			20000
42			30000
43			50000
44			70000
45			100000
46			120000
47			150000
48			180000
49			200000
50			10000
51			20000
52			30000
53			50000
54			70000
55			100000
56			120000
57			150000
58			180000
59			200000
60			10000
61			20000
62			30000
63			50000
64			70000
65			100000
66			120000
67			150000
68			180000
69			200000
70			10000
71			20000
72			30000
73			50000
74			70000
75			100000
76			120000
77			150000
78			180000
79			200000
80			10000
81			20000
82			30000
83			50000
84			70000
85			100000
86			120000
87			150000
88			180000
89			200000
90			10000
91			20000
92			30000
93			50000
94			70000
95			100000
96			120000
97			150000
98			180000
99			200000
100			10000
101			20000
102			30000
103			50000
104			70000
105			100000
106			120000
107			150000
108			180000
109			200000
110			10000
111			20000
112			30000
113			50000
114			70000
115			100000
116			120000
117			150000
118			180000
119			200000
120			10000
121			20000
122			30000
123			50000
124			70000
125			100000
126			120000
127			150000
128			180000
129			200000
130			10000
131			20000
132			30000
133			50000
134			70000
135			100000
136			120000
137			150000
138			180000
139			200000
140			10000
141			20000
142			30000
143			50000
144			70000
145			100000
146			120000
147			150000
148			180000
149			200000
150			10000
151			20000
152			30000
153			50000
154			70000
155			100000
156			120000
157			150000
158			180000
159			200000
160			10000
161			20000
162			30000
163			50000
164			70000
165			100000
166			120000
167			150000
168			180000
169			200000
170			10000
171			20000
172			30000
173			50000
174			70000
175			100000
176			120000
177			150000
178			180000
179			200000
180			10000
181			20000
182			30000
183			50000
184			70000
185			100000
186			120000
187			150000
188			180000
189			200000
190			10000
191			20000
192			30000
193			50000
194			70000
195			100000
196			120000
197			150000
198			180000
199			200000
200			10000
201			20000
202			30000
203			50000
204			70000
205			100000
206			120000
207			150000
208			180000
209			200000
210			10000
211			20000
212			30000
213			50000
214			70000
215			100000
216			120000
217			150000
218			180000
219			200000
220			10000
221			20000
222			30000
223			50000
224			70000
225			100000
226			120000
227			150000
228			180000
229			200000
230			10000
231			20000
232			30000
233			50000
234			70000
235			100000
236			120000
237			150000
238			180000
239			200000
240			10000
241			20000
242			30000
243			50000
244			70000
245			100000
246			120000
247			150000
248			180000
249			200000
250			10000
251			20000
252			30000
253			50000
254			70000
255			100000
256			120000
257			150000
258			180000
259			200000
260			10000
261			20000
262			30000
263			50000
264			70000
265			100000
266			120000
267			150000
268			180000
269			200000
270			10000
271			20000
272			30000
273			50000
274			70000
275			100000
276			120000
277			150000
278			180000
279			200000
280			10000
281			20000
282			30000
283			50000
284			70000
285			100000
286			120000
287			150000
288			180000
289			200000
290			10000
291			20000
292			30000
293			50000
294			70000
295			100000
296			120000
297			150000
298			180000
299			200000
300			10000
301			20000
302			30000
303			50000
304			70000
305			100000
306			120000
307			150000
308			180000
309			200000
310			10000
311			20000
312			30000
313			50000
314			70000
315			100000
316			120000
317			150000
318			180000
319			200000
320			10000
321			20000
322			30000
323			50000
324			70000
325			100000
326			120000
327			150000
328			180000
329			200000
330			10000
331			20000
332			30000
333			50000
334			70000
335			100000
336			120000
337			150000
338			180000
339			200000
340			10000
341			20000
342			30000
343			50000
344			70000
345			100000
346			120000
347			150000
348			180000
349			200000
350			10000
351			20000
352			30000
353			50000
354			70000
355			100000
356			120000
357			150000
358			180000
359			200000
360			10000
361			20000
362			30000
363			50000
364			70000
365			100000
366			120000
367			150000
368			180000
369			200000
370			10000
371			20000
372			30000
373			50000
374			70000
375			100000
376			120000
377			150000
378			180000
379			200000
380			10000
381			20000
382			30000
383			50000
384			70000
385			100000
386			120000
387			150000
388			180000
389			200000
390			10000
391			20000
392			30000
393			50000
394			70000
395			100000
396			120000
397			150000
398			180000
399			200000
400			10000
401			20000
402			30000
403			50000
404			70000
405			100000
406			120000
407			150000
408			180000
409			200000
410			10000
411			20000
412			30000
413			50000
414			70000
415			100000
416			120000
417			150000
418			180000
419			200000
420			10000
421			20000
422			30000
423			50000
424			70000
425			100000
426			120000
427			150000
428			180000
429			200000
430			10000
431			20000
432			30000
433			50000
434			70000
435			100000
436			120000
437			150000
438			180000
439			200000
440			10000
441			20000
442			30000
443			50000
444			70000
445			100000
446			120000
447			150000
448			180000
449			200000
450			10000
451			20000
452			30000
453			50000
454			70000
455			100000
456			120000
457			150000
458			180000
459			200000
460			10000
461			20000
462			30000
463			50000
464			70000
465			100000
466			120000
467			150000
468			180000
469			200000
470			10000
471			20000
472			30000
473			50000
474			70000
475			100000
476			120000
477			150000
478			180000
479			200000
480			10000
481			20000
482			30000
483			50000
484			70000
485			100000
486			120000
487			150000
488			180000
489			200000
490			10000
491			20000
492			30000
493			50000
494			70000
495			100000
496			120000
497			150000
498			180000
499			200000
500			10000
501			20000
502			30000
503			50000
504			70000
505			100000
506			120000
507			150000
508			180000
509			200000
510			10000
511			20000
512			30000
513			50000
514			70000
515			100000
516			120000
517			150000
518			180000
519			200000
520			10000
521			20000
522			30000
523			50000
524			70000
525			100000
526			120000
527			150000
528			180000
529			200000
530			10000
531			20000
532			30000
533			50000
534			70000
535			100000
536			120000
537			150000
538			180000
539			200000
540			10000
541			20000
542			30000
543			50000
544			70000
545			100000
546			120000
547			150000
548			180000
549			200000
550			10000
551			20000
552			30000
553			50000
554			70000
555			100000
556			120000
557			150000
558			180000
559			200000
560			10000
561			20000
562			30000
563			50000
564			70000
565			100000
566			120000
567			150000
568			180000
569			200000
570			10000
571			20000
572			30000
573			50000
574			70000
575			100000
576			120000
577			150000
578			180000
579			200000
580			10000
581			20000
582			30000
583			50000
584			70000
585			100000
586			120000
587			150000
588			180000
589			200000
590			10000
591			20000
592			30000
593			50000
594			70000
595			100000
596			120000
597			150000
598			180000
599			200000
600			10000
601			20000
602			30000
603			50000
604			70000
605			100000
606			120000
607			150000
608			180000
609			200000
610			10000
611			20000
612			30000
613			50000
614			70000
615			100000
616			120000
617			150000
618			180000
619			200000
620			10000
621			20000
622			30000
623			50000
624			70000
625			100000
626			120000
627			150000
628			180000
629			200000
630			10000
631			20000
632			30000
633			50000
634			70000
635			100000
636			120000
637			150000
638			180000
639			200000
640			10000
641			20000
642			30000
643			50000
644			70000
645			100000
646			120000
647			150000
648			180000
649			200000
650			10000
651			20000
652			30000
653			50000
654			70000
655			100000
656			120000
657			150000
658			180000
659			200000
660			10000
661			20000
662			30000
663			50000
664			70000
665			100000
666			120000
667			150000
668			180000
669			200000
670			10000
671			20000
672			30000
673			50000
674			70000
675			100000
676			120000
677			150000
678			180000
679			200000
680			10000
681			20000
682			30000
683			50000
684			70000
685			100000
686			120000
687			150000
688			180000
689			200000
690			10000
691			20000
692			30000
693			50000
694			70000
695			100000
696			120000
697			150000
698			180000
699			200000
700			10000
701			20000
702			30000
703			50000
704			70000
705			100000
706			120000
707			150000
708			180000
709			200000
710			10000
711			20000
712			30000
713			50000
714			70000
715			100000
716			120000
717			150000
718			180000
719			200000
720			10000
