#이 표는 계약이다. 번호를 바꾸거나 재사용하지 말 것.
#세이브 파일과 서버 DB에 이 번호가 그대로 들어 있다.
#새 콘텐츠는 항상 맨 끝에 붙인다. 폐기는 행을 지우지 말고 alive=0으로.
id	name	alias	alive
0	CASTLE_TOLEM		1
1	CASTLE_ARENA		1
2	CASTLE_SWAMP		1
3	CASTLE_VALLEY		1
4	CASTLE_ATLANTICE		1
5	CASTLE_SEWAGE		1
6	CASTLE_ADELINE		1
7	CASTLE_PLAIN		1
8	CASTLE_ELF		1
9	CASTLE_FLAME		1
10	CASTLE_FROST		1
11	CASTLE_THUNDER		1
12	CASTLE_LIGHT		1
13	CASTLE_GOLEMVALLEY		1
14	CASTLE_DARKNESS		1
15	CASTLE_DRAGON		1
16	CASTLE_GHOST		1
17	CASTLE_DEVILCASTLE		1
18	CASTLE_SPACE		1
