#이 표는 계약이다. 번호를 바꾸거나 재사용하지 말 것.
#세이브 파일과 서버 DB에 이 번호가 그대로 들어 있다.
#새 콘텐츠는 항상 맨 끝에 붙인다. 폐기는 행을 지우지 말고 alive=0으로.
id	name	alias	alive
0	CREW_BOY		1
1	CREW_GIRL		1
2	CREW_GRANDMA		1
3	CREW_GRANDFA		1
4	CREW_MAN		1
5	CREW_WOMAN		1
6	CREW_UNCLE		1
7	CREW_AUNT		1
8	CREW_SEAUNCLE		1
9	CREW_SEASOLDIER		1
10	CREW_MILESE		1
11	CREW_ALMA		1
12	CREW_CREW		1
13	CREW_TRAVEL		1
14	CREW_ELFBOY		1
15	CREW_ELFGIRL		1
16	CREW_ITEM		1
17	CREW_ELFUNCLE		1
18	CREW_ELFAUNT		1
19	CREW_ADELKNIGHT		1
20	CREW_OWL		1
21	CREW_MAID		1
22	CREW_BUNNYGIRL		1
23	CREW_MAP		1
24	CREW_MONICA		1
25	CREW_SEABOY		1
26	CREW_DOBEL		1
27	CREW_GAGEL		1
28	CREW_ELFGRANDFA		1
29	CREW_ELFWOMAN		1
30	CREW_ELFMAN		1
31	CREW_ELFDANCER		1
32	CREW_NOBLEMAN		1
33	CREW_SCHOLAR		1
34	CREW_NETITEM		1
35	CREW_FATMAN		1
36	CREW_CRAFTMAN		1
37	CREW_LUISE		1
38	CREW_DOG		1
39	CREW_KNIGHT		1
40	CREW_WITCH		1
41	CREW_BISTRO		1
42	CREW_SEBASTIAN		1
43	CREW_FISHING		1
44	CREW_FRAUD		1
45	CREW_ELFMAGIC		1
46	CREW_DARIAN		1
47	CREW_DONALD		1
48	CREW_ELFDARK		1
49	CREW_NEZAR		1
50	CREW_DURAK		1
51	CREW_WOMANGHOST		1
52	CREW_MANGHOST		1
53	CREW_AUSTIN		1
54	CREW_ELEIN		1
55	CREW_USERQUEST		1
56	CREW_CHEF		1
57	CREW_CAPTAIN		1
58	CREW_ELKEIN		1
59	CREW_DELPIOS		1
60	CREW_LABETH		1
61	CREW_EVAN		1
62	CREW_LORA		1
63	CREW_KING		1
