#이 표는 계약이다. 번호를 바꾸거나 재사용하지 말 것.
#세이브 파일과 서버 DB에 이 번호가 그대로 들어 있다.
#새 콘텐츠는 항상 맨 끝에 붙인다. 폐기는 행을 지우지 말고 alive=0으로.
id	name	alias	alive
3	ENEMY_SNAIL		1
4	ENEMY_TREE		1
5	ENEMY_ONEEYE		1
6	ENEMY_SKELETON		1
7	ENEMY_LIZARD		1
8	ENEMY_JELLYFISH		1
9	ENEMY_KNIGHT		1
10	ENEMY_SLIME		1
11	ENEMY_SLING		1
12	ENEMY_BOAR		1
13	ENEMY_FLAME		1
14	ENEMY_PHOENIX		1
15	ENEMY_FACE		1
16	ENEMY_SNOWMAN		1
17	ENEMY_ICESUN		1
18	ENEMY_LIGHTNING		1
19	ENEMY_THUNDER		1
20	ENEMY_CRYSTAL		1
21	ENEMY_FAIRY		1
22	ENEMY_CIRCLE		1
23	ENEMY_SPIDER		1
24	ENEMY_GOLEM		1
25	ENEMY_DARKGIANT		1
26	ENEMY_DARKDRAGON		1
27	ENEMY_DRAGON1		1
28	ENEMY_DRAGON2		1
29	ENEMY_GHOST		1
30	ENEMY_PUMPKIN		1
31	ENEMY_CASTLE1		1
32	ENEMY_CASTLE2		1
33	ENEMY_SPACE1		1
34	ENEMY_SPACE2		1
35	ENEMY_FROG		1
36	ENEMY_LARVA		1
37	ENEMY_SALAMANDER		1
38	ENEMY_GIANT		1
39	ENEMY_IFRIT		1
40	ENEMY_MAMMOTH		1
41	ENEMY_MACHINE		1
42	ENEMY_ANGEL		1
43	ENEMY_KIMERA		1
44	ENEMY_SHIP		1
45	ENEMY_FOGRA		1
46	ENEMY_BAHAMUT		1
47	ENEMY_DEATH		1
48	ENEMY_CASTLE_BOSS1		1
49	ENEMY_CASTLE_BOSS2		1
50	ENEMY_CASTLE_BOSS3		1
51	ENEMY_CASTLE_BOSS4		1
52	ENEMY_LABETH		1
53	ENEMY_ELKEIN		1
54	ENEMY_SNAIL_RED		1
55	ENEMY_TREE_RED		1
56	ENEMY_ONEEYE_RED		1
57	ENEMY_SKELETON_RED		1
58	ENEMY_LIZARD_RED		1
