#한 행이 하나다. 여러 파일 여러 배열에 흩어져 있던 것을 모은 것.
#값은 소스에 적힌 글자 그대로다. 이름을 숫자로 바꾸지 않는다.
#id는 계약이다. 중간에 끼우지 말고 항상 맨 끝에 (content/README.md).
#\N은 그 배열에 이 번호가 없다는 뜻이다.
id	enum_name	label	gold
0			1000
1			1200
2			1400
3			1600
4			1800
5			2000
6			2200
7			2400
8			2800
9			3000
10			3400
11			3800
12			4200
13			4600
14			5200
15			5800
16			6400
17			7000
18			7800
19			8600
20			10000
21			11000
22			13000
23			15000
24			17000
25			19000
26			21000
27			24000
28			27000
29			30000
30			33000
31			37000
32			41000
33			46000
34			51000
35			28500
36			31500
37			35000
38			38500
39			42500
40			50000
41			55000
42			65000
43			75000
44			85000
45			95000
46			105000
47			120000
48			135000
49			150000
50			165000
51			185000
52			205000
53			230000
54			255000
55			285000
56			315000
57			350000
58			385000
59			425000
60			500000
61			550000
62			650000
63			750000
64			850000
65			950000
66			10500000
67			12000000
68			13500000
69			15000000
70			16500000
71			18500000
72			20500000
73			23000000
74			25500000
75			28500000
76			31500000
77			35000000
78			38500000
79			42500000
