#한 행이 하나다. 여러 파일 여러 배열에 흩어져 있던 것을 모은 것.
#값은 소스에 적힌 글자 그대로다. 이름을 숫자로 바꾸지 않는다.
#id는 계약이다. 중간에 끼우지 말고 항상 맨 끝에 (content/README.md).
#\N은 그 배열에 이 번호가 없다는 뜻이다.
id	enum_name	label	value
0			ITEM_GOLD
1			null
2			null
3			100000
4			ITEM_GOLD
5			null
6			null
7			100000
8			ITEM_GOLD
9			null
10			null
11			100000
12			ITEM_GOLD
13			null
14			null
15			100000
16			ITEM_GOLD
17			null
18			null
19			100000
20			ITEM_GOLD
21			null
22			null
23			100000
24			ITEM_GOLD
25			null
26			null
27			100000
28			ITEM_GOLD
29			null
30			null
31			100000
32			ITEM_GOLD
33			null
34			null
35			100000
36			ITEM_GOLD
37			null
38			null
39			100000
40			ITEM_GOLD
41			null
42			null
43			100000
44			ITEM_GOLD
45			null
46			null
47			100000
48			ITEM_GOLD
49			null
50			null
51			100000
52			ITEM_GOLD
53			null
54			null
55			100000
56			ITEM_GOLD
57			null
58			null
59			100000
60			ITEM_GOLD
61			null
62			null
63			100000
64			ITEM_GOLD
65			null
66			null
67			100000
68			ITEM_GOLD
69			null
70			null
71			100000
72			ITEM_GOLD
73			null
74			null
75			100000
76			ITEM_GOLD
77			null
78			null
79			100000
80			ITEM_GOLD
81			null
82			null
83			100000
84			ITEM_GOLD
85			null
86			null
87			100000
88			ITEM_GOLD
89			null
90			null
91			100000
92			ITEM_GOLD
93			null
94			null
95			100000
96			ITEM_GOLD
97			null
98			null
99			100000
100			ITEM_GOLD
101			null
102			null
103			100000
104			ITEM_GOLD
105			null
106			null
107			100000
108			ITEM_GOLD
109			null
110			null
111			100000
112			ITEM_GOLD
113			null
114			null
115			100000
116			ITEM_GOLD
117			null
118			null
119			100000
120			ITEM_GOLD
121			null
122			null
123			100000
124			ITEM_GOLD
125			null
126			null
127			100000
128			ITEM_GOLD
129			null
130			null
131			100000
132			ITEM_GOLD
133			null
134			null
135			100000
136			ITEM_GOLD
137			null
138			null
139			100000
140			ITEM_GOLD
141			null
142			null
143			100000
144			ITEM_GOLD
145			null
146			null
147			100000
148			ITEM_GOLD
149			null
150			null
151			100000
152			ITEM_GOLD
153			null
154			null
155			100000
156			ITEM_GOLD
157			null
158			null
159			100000
160			ITEM_GOLD
161			null
162			null
163			100000
164			ITEM_GOLD
165			null
166			null
167			100000
168			ITEM_GOLD
169			null
170			null
171			100000
172			ITEM_GOLD
173			null
174			null
175			100000
176			ITEM_GOLD
177			null
178			null
179			100000
180			ITEM_GOLD
181			null
182			null
183			100000
184			ITEM_GOLD
185			null
186			null
187			100000
188			ITEM_GOLD
189			null
190			null
191			100000
192			ITEM_GOLD
193			null
194			null
195			100000
196			ITEM_GOLD
197			null
198			null
199			100000
200			ITEM_GOLD
201			null
202			null
203			100000
204			ITEM_GOLD
205			null
206			null
207			100000
208			ITEM_GOLD
209			null
210			null
211			100000
212			ITEM_GOLD
213			null
214			null
215			100000
216			ITEM_GOLD
217			null
218			null
219			100000
220			ITEM_GOLD
221			null
222			null
223			100000
224			ITEM_GOLD
225			null
226			null
227			100000
228			ITEM_GOLD
229			null
230			null
231			100000
232			ITEM_GOLD
233			null
234			null
235			100000
236			ITEM_GOLD
237			null
238			null
239			100000
240			ITEM_GOLD
241			null
242			null
243			100000
244			ITEM_GOLD
245			null
246			null
247			100000
248			ITEM_GOLD
249			null
250			null
251			100000
252			ITEM_GOLD
253			null
254			null
255			100000
256			ITEM_GOLD
257			null
258			null
259			100000
260			ITEM_GOLD
261			null
262			null
263			100000
264			ITEM_GOLD
265			null
266			null
267			100000
268			ITEM_GOLD
269			null
270			null
271			100000
272			ITEM_GOLD
273			null
274			null
275			100000
276			ITEM_GOLD
277			null
278			null
279			100000
280			ITEM_GOLD
281			null
282			null
283			100000
284			ITEM_GOLD
285			null
286			null
287			100000
288			ITEM_GOLD
289			null
290			null
291			100000
292			ITEM_GOLD
293			null
294			null
295			100000
296			ITEM_GOLD
297			null
298			null
299			100000
300			ITEM_GOLD
301			null
302			null
303			100000
304			ITEM_GOLD
305			null
306			null
307			100000
308			ITEM_GOLD
309			null
310			null
311			100000
312			ITEM_GOLD
313			null
314			null
315			100000
316			ITEM_GOLD
317			null
318			null
319			100000
320			ITEM_GOLD
321			null
322			null
323			100000
324			ITEM_GOLD
325			null
326			null
327			100000
328			ITEM_GOLD
329			null
330			null
331			100000
332			ITEM_GOLD
333			null
334			null
335			100000
336			ITEM_GOLD
337			null
338			null
339			100000
340			ITEM_GOLD
341			null
342			null
343			100000
344			ITEM_GOLD
345			null
346			null
347			100000
348			ITEM_GOLD
349			null
350			null
351			100000
352			ITEM_GOLD
353			null
354			null
355			100000
356			ITEM_GOLD
357			null
358			null
359			100000
360			ITEM_GOLD
361			null
362			null
363			100000
364			ITEM_GOLD
365			null
366			null
367			100000
368			ITEM_GOLD
369			null
370			null
371			100000
372			ITEM_GOLD
373			null
374			null
375			100000
376			ITEM_GOLD
377			null
378			null
379			100000
380			ITEM_GOLD
381			null
382			null
383			100000
384			ITEM_GOLD
385			null
386			null
387			100000
388			ITEM_GOLD
389			null
390			null
391			100000
392			ITEM_GOLD
393			null
394			null
395			100000
396			ITEM_GOLD
397			null
398			null
399			100000
