#한 행이 하나다. 여러 파일 여러 배열에 흩어져 있던 것을 모은 것.
#값은 소스에 적힌 글자 그대로다. 이름을 숫자로 바꾸지 않는다.
#id는 계약이다. 중간에 끼우지 말고 항상 맨 끝에 (content/README.md).
#\N은 그 배열에 이 번호가 없다는 뜻이다.
id	enum_name	label	gold
0			10000 * 3
1			11000 * 3
2			13000 * 3
3			15000 * 3
4			17000 * 3
5			19000 * 3
6			21000 * 3
7			24000 * 3
8			27000 * 3
9			30000 * 3
10			33000 * 3
11			37000 * 3
12			41000 * 3
13			46000 * 3
14			51000 * 3
15			57000 * 3
16			63000 * 3
17			70000 * 3
18			77000 * 3
19			85000 * 3
20			100000 * 3
21			110000 * 3
22			130000 * 3
23			150000 * 3
24			170000 * 3
25			190000 * 3
26			210000 * 3
27			240000 * 3
28			270000 * 3
29			300000 * 3
30			330000 * 3
31			370000 * 3
32			410000 * 3
33			460000 * 3
34			510000 * 3
35			570000 * 3
36			630000 * 3
37			700000 * 3
38			770000 * 3
39			850000 * 3
40			1000000 * 3
41			1100000 * 3
42			1300000 * 3
43			1500000 * 3
44			1700000 * 3
45			1900000 * 3
46			2100000 * 3
47			2400000 * 3
48			2700000 * 3
49			3000000 * 3
50			3300000 * 3
51			3700000 * 3
52			4100000 * 3
53			4600000 * 3
54			5100000 * 3
55			5700000 * 3
56			6300000 * 3
57			7000000 * 3
58			7700000 * 3
59			8500000 * 3
60			10000000 * 3
61			11000000 * 3
62			13000000 * 3
63			15000000 * 3
64			17000000 * 3
65			19000000 * 3
66			21000000 * 3
67			24000000 * 3
68			27000000 * 3
69			30000000 * 3
70			33000000 * 3
71			37000000 * 3
72			41000000 * 3
73			46000000 * 3
74			51000000 * 3
75			57000000 * 3
76			63000000 * 3
77			70000000 * 3
78			77000000 * 3
79			85000000 * 3
80			100000000 * 3
81			110000000 * 3
82			130000000 * 3
83			150000000 * 3
84			170000000 * 3
85			190000000 * 3
86			210000000 * 3
87			240000000 * 3
88			270000000 * 3
89			300000000 * 3
90			330000000 * 3
91			370000000 * 3
92			410000000 * 3
93			460000000 * 3
94			510000000 * 3
95			570000000 * 3
96			630000000 * 3
97			700000000 * 3
98			770000000 * 3
99			850000000 * 3
