#한 행이 하나다. 여러 파일 여러 배열에 흩어져 있던 것을 모은 것.
#값은 소스에 적힌 글자 그대로다. 이름을 숫자로 바꾸지 않는다.
#id는 계약이다. 중간에 끼우지 말고 항상 맨 끝에 (content/README.md).
#\N은 그 배열에 이 번호가 없다는 뜻이다.
id	enum_name	label	heart
0			100
1			200
2			300
3			400
4			500
5			600
6			700
7			800
8			900
9			1000
10			1100
11			1200
12			1300
13			1400
14			1500
15			1600
16			1700
17			1800
18			1900
19			2000
20			2100
21			2200
22			2300
23			2400
24			100
25			200
26			300
27			400
28			500
29			600
30			700
31			800
32			900
33			1000
34			1100
35			1200
36			1300
37			1400
38			1500
39			1600
40			1700
41			1800
42			1900
43			2000
44			2100
45			2200
46			2300
47			2400
48			100
49			200
50			300
51			400
52			500
53			600
54			700
55			800
56			900
57			1000
58			1100
59			1200
60			1300
61			1400
62			1500
63			1600
64			1700
65			1800
66			1900
67			2000
68			2100
69			2200
70			2300
71			2400
72			100
73			200
74			300
75			400
76			500
77			600
78			700
79			800
80			900
81			1000
82			1100
83			1200
84			1300
85			1400
86			1500
87			1600
88			1700
89			1800
90			1900
91			2000
92			2100
93			2200
94			2300
95			2400
96			100
97			200
98			300
99			400
100			500
101			600
102			700
103			800
104			900
105			1000
106			1100
107			1200
108			1300
109			1400
110			1500
111			1600
112			1700
113			1800
114			1900
115			2000
116			2100
117			2200
118			2300
119			2400
120			100
121			200
122			300
123			400
124			500
125			600
126			700
127			800
128			900
129			1000
130			1100
131			1200
132			1300
133			1400
134			1500
135			1600
136			1700
137			1800
138			1900
139			2000
140			2100
141			2200
142			2300
143			2400
144			100
145			200
146			300
147			400
148			500
149			600
150			700
151			800
152			900
153			1000
154			1100
155			1200
156			1300
157			1400
158			1500
159			1600
160			1700
161			1800
162			1900
163			2000
164			2100
165			2200
166			2300
167			2400
168			100
169			200
170			300
171			400
172			500
173			600
174			700
175			800
176			900
177			1000
178			1100
179			1200
180			1300
181			1400
182			1500
183			1600
184			1700
185			1800
186			1900
187			2000
188			2100
189			2200
190			2300
191			2400
192			100
193			200
194			300
195			400
196			500
197			600
198			700
199			800
200			900
201			1000
202			1100
203			1200
204			1300
205			1400
206			1500
207			1600
208			1700
209			1800
210			1900
211			2000
212			2100
213			2200
214			2300
215			2400
216			100
217			200
218			300
219			400
220			500
221			600
222			700
223			800
224			900
225			1000
226			1100
227			1200
228			1300
229			1400
230			1500
231			1600
232			1700
233			1800
234			1900
235			2000
236			2100
237			2200
238			2300
239			2400
240			100
241			200
242			300
243			400
244			500
245			600
246			700
247			800
248			900
249			1000
250			1100
251			1200
252			1300
253			1400
254			1500
255			1600
256			1700
257			1800
258			1900
259			2000
260			2100
261			2200
262			2300
263			2400
264			100
265			200
266			300
267			400
268			500
269			600
270			700
271			800
272			900
273			1000
274			1100
275			1200
276			1300
277			1400
278			1500
279			1600
280			1700
281			1800
282			1900
283			2000
284			2100
285			2200
286			2300
287			2400
288			100
289			200
290			300
291			400
292			500
293			600
294			700
295			800
296			900
297			1000
298			1100
299			1200
300			1300
301			1400
302			1500
303			1600
304			1700
305			1800
306			1900
307			2000
308			2100
309			2200
310			2300
311			2400
312			100
313			200
314			300
315			400
316			500
317			600
318			700
319			800
320			900
321			1000
322			1100
323			1200
324			1300
325			1400
326			1500
327			1600
328			1700
329			1800
330			1900
331			2000
332			2100
333			2200
334			2300
335			2400
336			100
337			200
338			300
339			400
340			500
341			600
342			700
343			800
344			900
345			1000
346			1100
347			1200
348			1300
349			1400
350			1500
351			1600
352			1700
353			1800
354			1900
355			2000
356			2100
357			2200
358			2300
359			2400
360			100
361			200
362			300
363			400
364			500
365			600
366			700
367			800
368			900
369			1000
370			1100
371			1200
372			1300
373			1400
374			1500
375			1600
376			1700
377			1800
378			1900
379			2000
380			2100
381			2200
382			2300
383			2400
384			100
385			200
386			300
387			400
388			500
389			600
390			700
391			800
392			900
393			1000
394			1100
395			1200
396			1300
397			1400
398			1500
399			1600
400			1700
401			1800
402			1900
403			2000
404			2100
405			2200
406			2300
407			2400
408			100
409			200
410			300
411			400
412			500
413			600
414			700
415			800
416			900
417			1000
418			1100
419			1200
420			1300
421			1400
422			1500
423			1600
424			1700
425			1800
426			1900
427			2000
428			2100
429			2200
430			2300
431			2400
