#한 행이 하나다. 여러 파일 여러 배열에 흩어져 있던 것을 모은 것.
#값은 소스에 적힌 글자 그대로다. 이름을 숫자로 바꾸지 않는다.
#id는 계약이다. 중간에 끼우지 말고 항상 맨 끝에 (content/README.md).
#\N은 그 배열에 이 번호가 없다는 뜻이다.
id	enum_name	label	value
0			ITEM_SKILL
1			SKILL_ROBIN8
2			false
3			1
4			-1
5			false
6			false
7			false
8			-1
9			false
10			false
11			false
12			ITEM_CREW
13			NPC_BOY
14			false
15			1
16			-1
17			false
18			false
19			false
20			-1
21			false
22			false
23			false
24			ITEM_HEART
25			false
26			false
27			30
28			ITEM_GOLD
29			false
30			false
31			1000
32			-1
33			false
34			false
35			false
36			ITEM_HEART
37			false
38			false
39			30
40			ITEM_GOLD
41			false
42			false
43			1000
44			-1
45			false
46			false
47			false
48			ITEM_HEART
49			false
50			false
51			30
52			ITEM_GOLD
53			false
54			false
55			1000
56			-1
57			false
58			false
59			false
60			ITEM_HEART
61			false
62			false
63			30
64			ITEM_GOLD
65			false
66			false
67			1000
68			-1
69			false
70			false
71			false
72			ITEM_HEART
73			false
74			false
75			30
76			ITEM_GOLD
77			false
78			false
79			1000
80			-1
81			false
82			false
83			false
84			ITEM_HEART
85			false
86			false
87			30
88			ITEM_GOLD
89			false
90			false
91			1000
92			-1
93			false
94			false
95			false
96			ITEM_HEART
97			false
98			false
99			30
100			ITEM_GOLD
101			false
102			false
103			1000
104			-1
105			false
106			false
107			false
108			ITEM_HEART
109			false
110			false
111			30
112			ITEM_GOLD
113			false
114			false
115			1000
116			-1
117			false
118			false
119			false
120			ITEM_HEART
121			false
122			false
123			30
124			ITEM_GOLD
125			false
126			false
127			1000
128			-1
129			false
130			false
131			false
132			ITEM_HEART
133			false
134			false
135			30
136			ITEM_GOLD
137			false
138			false
139			1000
140			-1
141			false
142			false
143			false
144			ITEM_HEART
145			false
146			false
147			30
148			ITEM_GOLD
149			false
150			false
151			1000
152			-1
153			false
154			false
155			false
156			ITEM_HEART
157			false
158			false
159			30
160			ITEM_GOLD
161			false
162			false
163			1000
164			-1
165			false
166			false
167			false
168			ITEM_HEART
169			false
170			false
171			30
172			ITEM_GOLD
173			false
174			false
175			1000
176			-1
177			false
178			false
179			false
180			ITEM_HEART
181			false
182			false
183			30
184			ITEM_GOLD
185			false
186			false
187			1000
188			-1
189			false
190			false
191			false
192			ITEM_HEART
193			false
194			false
195			30
196			ITEM_GOLD
197			false
198			false
199			1000
200			-1
201			false
202			false
203			false
204			ITEM_HEART
205			false
206			false
207			30
208			ITEM_GOLD
209			false
210			false
211			1000
212			-1
213			false
214			false
215			false
216			ITEM_HEART
217			false
218			false
219			30
220			ITEM_GOLD
221			false
222			false
223			1000
224			-1
225			false
226			false
227			false
228			ITEM_HEART
229			false
230			false
231			30
232			ITEM_GOLD
233			false
234			false
235			1000
236			-1
237			false
238			false
239			false
240			ITEM_HEART
241			false
242			false
243			30
244			ITEM_GOLD
245			false
246			false
247			1000
248			-1
249			false
250			false
251			false
252			ITEM_HEART
253			false
254			false
255			30
256			ITEM_GOLD
257			false
258			false
259			1000
260			-1
261			false
262			false
263			false
264			ITEM_HEART
265			false
266			false
267			30
268			ITEM_GOLD
269			false
270			false
271			1000
272			-1
273			false
274			false
275			false
276			ITEM_HEART
277			false
278			false
279			30
280			ITEM_GOLD
281			false
282			false
283			1000
284			-1
285			false
286			false
287			false
288			ITEM_HEART
289			false
290			false
291			30
292			ITEM_GOLD
293			false
294			false
295			1000
296			-1
297			false
298			false
299			false
300			ITEM_HEART
301			false
302			false
303			30
304			ITEM_GOLD
305			false
306			false
307			1000
308			-1
309			false
310			false
311			false
312			ITEM_HEART
313			false
314			false
315			30
316			ITEM_GOLD
317			false
318			false
319			1000
320			-1
321			false
322			false
323			false
324			ITEM_HEART
325			false
326			false
327			30
328			ITEM_GOLD
329			false
330			false
331			1000
332			-1
333			false
334			false
335			false
336			ITEM_HEART
337			false
338			false
339			30
340			ITEM_GOLD
341			false
342			false
343			1000
344			-1
345			false
346			false
347			false
348			ITEM_HEART
349			false
350			false
351			30
352			ITEM_GOLD
353			false
354			false
355			1000
356			-1
357			false
358			false
359			false
360			ITEM_HEART
361			false
362			false
363			30
364			ITEM_GOLD
365			false
366			false
367			1000
368			-1
369			false
370			false
371			false
372			ITEM_HEART
373			false
374			false
375			30
376			ITEM_GOLD
377			false
378			false
379			1000
380			-1
381			false
382			false
383			false
384			ITEM_HEART
385			false
386			false
387			30
388			ITEM_GOLD
389			false
390			false
391			1000
392			-1
393			false
394			false
395			false
396			ITEM_HEART
397			false
398			false
399			30
400			ITEM_GOLD
401			false
402			false
403			1000
404			-1
405			false
406			false
407			false
408			ITEM_HEART
409			false
410			false
411			30
412			ITEM_GOLD
413			false
414			false
415			1000
416			-1
417			false
418			false
419			false
420			ITEM_HEART
421			false
422			false
423			30
424			ITEM_GOLD
425			false
426			false
427			1000
428			-1
429			false
430			false
431			false
432			ITEM_HEART
433			false
434			false
435			30
436			ITEM_GOLD
437			false
438			false
439			1000
440			-1
441			false
442			false
443			false
444			ITEM_HEART
445			false
446			false
447			30
448			ITEM_GOLD
449			false
450			false
451			1000
452			-1
453			false
454			false
455			false
456			ITEM_HEART
457			false
458			false
459			30
460			ITEM_GOLD
461			false
462			false
463			1000
464			-1
465			false
466			false
467			false
468			ITEM_HEART
469			false
470			false
471			30
472			ITEM_GOLD
473			false
474			false
475			1000
476			-1
477			false
478			false
479			false
480			ITEM_HEART
481			false
482			false
483			30
484			ITEM_GOLD
485			false
486			false
487			1000
488			-1
489			false
490			false
491			false
492			ITEM_HEART
493			false
494			false
