#한 행이 하나다. 여러 파일 여러 배열에 흩어져 있던 것을 모은 것.
#값은 소스에 적힌 글자 그대로다. 이름을 숫자로 바꾸지 않는다.
#id는 계약이다. 중간에 끼우지 말고 항상 맨 끝에 (content/README.md).
#\N은 그 배열에 이 번호가 없다는 뜻이다.
id	enum_name	label	value
0			TEXT_CURRENCY_HEART
1			ICON_HEART
2			0
3			CURRENCY_HEART
4			100
5			CURRENCY_CASH
6			1000
7			TEXT_CURRENCY_HEART
8			ICON_HEART
9			20
10			CURRENCY_HEART
11			300
12			CURRENCY_CASH
13			2000
14			TEXT_CURRENCY_HEART
15			ICON_HEART
16			50
17			CURRENCY_HEART
18			1000
19			CURRENCY_CASH
20			5000
21			TEXT_CURRENCY_HEART
22			ICON_HEART
23			80
24			CURRENCY_HEART
25			5000
26			CURRENCY_CASH
27			20000
28			TEXT_CURRENCY_HEART
29			ICON_HEART
30			120
31			CURRENCY_HEART
32			15000
33			CURRENCY_CASH
34			50000
35			TEXT_CURRENCY_HEART
36			ICON_HEART
37			140
38			CURRENCY_HEART
39			50000
40			CURRENCY_CASH
41			100000
42			TEXT_CURRENCY_COIN
43			64 * 3 + 19
44			1
45			64 * 3 + 19
46			1
47			CURRENCY_GOLD
48			1000000
49			TEXT_CURRENCY_COIN
50			64 * 3 + 20
51			2
52			64 * 3 + 20
53			2
54			CURRENCY_GOLD
55			3000000
56			TEXT_CURRENCY_COIN
57			64 * 3 + 21
58			3
59			64 * 3 + 21
60			3
61			CURRENCY_GOLD
62			5000000
63			TEXT_CURRENCY_COIN
64			ICON_GOLD
65			0
66			CURRENCY_GOLD
67			1000000
68			CURRENCY_CASH
69			10000
70			TEXT_CURRENCY_COIN
71			ICON_GOLD
72			10
73			CURRENCY_GOLD
74			2500000
75			CURRENCY_CASH
76			20000
77			TEXT_CURRENCY_COIN
78			ITEM_GOLDBAR_ICON
79			30
80			CURRENCY_GOLD
81			7000000
82			CURRENCY_CASH
83			50000
84			TEXT_CURRENCY_COIN
85			ITEM_GOLDBAR_ICON
86			60
87			CURRENCY_GOLD
88			15000000
89			CURRENCY_CASH
90			20000
91			TEXT_CURRENCY_COIN
92			ICON_GOLDBAG
93			85
94			CURRENCY_GOLD
95			50000000
96			CURRENCY_CASH
97			50000
98			TEXT_CURRENCY_COIN
99			ICON_GOLDBAG
100			120
101			CURRENCY_GOLD
102			125000000
103			CURRENCY_CASH
104			100000
105			TEXT_CURRENCY_MEDAL
106			ICON_MEDAL
107			1
108			CURRENCY_MEDAL
109			100
110			CURRENCY_COIN
111			100
112			TEXT_CURRENCY_MEDAL
113			ICON_MEDAL
114			2
115			CURRENCY_MEDAL
116			500
117			CURRENCY_COIN
118			500
119			TEXT_CURRENCY_MEDAL
120			ICON_MEDAL
121			3
122			CURRENCY_MEDAL
123			1000
124			CURRENCY_COIN
125			1000
