#한 행이 하나다. 여러 파일 여러 배열에 흩어져 있던 것을 모은 것.
#값은 소스에 적힌 글자 그대로다. 이름을 숫자로 바꾸지 않는다.
#id는 계약이다. 중간에 끼우지 말고 항상 맨 끝에 (content/README.md).
#\N은 그 배열에 이 번호가 없다는 뜻이다.
id	enum_name	label	value
0			20
1			29
2			24
3			5
4			19
5			1
6			21
7			29
8			25
9			2
10			29
11			1
12			22
13			29
14			26
15			5
16			29
17			1
18			23
19			29
20			27
21			4
22			29
23			1
24			34
25			29
26			28
27			3
28			20
29			1
30			10
31			29
32			9
33			1
34			9
35			1
36			11
37			29
38			12
39			1
40			7
41			1
42			12
43			29
44			15
45			1
46			9
47			1
48			14
49			29
50			19
51			1
52			3
53			1
54			13
55			29
56			18
57			1
58			1
59			1
60			15
61			29
62			20
63			0
64			7
65			1
66			18
67			29
68			22
69			0
70			7
71			1
72			19
73			29
74			23
75			0
76			7
77			1
78			32
79			29
80			8
81			1
82			8
83			10
84			9
85			29
86			8
87			1
88			19
89			25
90			2
91			29
92			1
93			1
94			5
95			1
96			3
97			29
98			2
99			1
100			19
101			20
102			4
103			29
104			3
105			1
106			19
107			5
108			5
109			29
110			4
111			1
112			19
113			5
114			6
115			29
116			5
117			1
118			19
119			20
120			7
121			29
122			6
123			1
124			19
125			20
126			31
127			29
128			0
129			1
130			2
131			5
132			1
133			29
134			0
135			1
136			29
137			100
138			24
139			21
140			23
141			1
142			9
143			20
144			25
145			21
146			24
147			1
148			9
149			20
150			26
151			21
152			25
153			1
154			9
155			20
156			27
157			21
158			26
159			1
160			9
161			20
