#한 행이 하나다. 여러 파일 여러 배열에 흩어져 있던 것을 모은 것.
#값은 소스에 적힌 글자 그대로다. 이름을 숫자로 바꾸지 않는다.
#id는 계약이다. 중간에 끼우지 말고 항상 맨 끝에 (content/README.md).
#\N은 그 배열에 이 번호가 없다는 뜻이다.
id	enum_name	label	kind	value	hit_max	cooldown	icon	icon_kind	star	attack_type	host_obj	summon_enemy	hero_type	hero_skill	summon_x	bullet_obj	bullet_icon	equip1	equip2	equip3	equip4	equip5	equip6	dmg_pct
0	SKILL_COMMON_ROBIN1	스트라이더 소환	PASSIVE	1	0	0	29	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
1	SKILL_COMMON_ROBIN2	그레이트아머 소환	PASSIVE	1	0	0	30	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
2	SKILL_COMMON_ROBIN3	공허한 갑주 소환	PASSIVE	1	0	0	21	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
3	SKILL_COMMON_ROBIN4	황금달팽이 소환	PASSIVE	1	0	0	22	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
4	SKILL_COMMON_ROBIN5	아르곤 소환	PASSIVE	4	0	0	23	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
5	SKILL_COMMON_ROBIN6	카툼 소환	PASSIVE	4	0	0	24	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
6	SKILL_COMMON_ROBIN7	고대의 수호자 소환	PASSIVE	2	0	0	31	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
7	SKILL_COMMON_ROBIN8	이프리트 소환	PASSIVE	2	0	0	26	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
8	SKILL_COMMON_ROBIN9	프로스트 소환	PASSIVE	1	0	0	32	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
9	SKILL_COMMON_ROBIN10	황금 스켈레톤 소환	PASSIVE	5	0	0	33	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
10	SKILL_COMMON_ROBIN11	호루스 소환	PASSIVE	4	0	0	25	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
11	SKILL_COMMON_ROBIN12	마도합성수 소환	PASSIVE	1	0	0	27	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
12	SKILL_COMMON_ROBIN13	황금 늪의 주인 소환	PASSIVE	1	0	0	28	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
13	SKILL_ROBIN1	아리만 소환	PASSIVE	2	0	0	16	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
14	SKILL_ROBIN2	티어맷 소환	PASSIVE	2	0	0	7	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
15	SKILL_ROBIN3	죽음의 신 소환	PASSIVE	25	0	0	8	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
16	SKILL_ROBIN4	데브리온 소환	PASSIVE	25	0	0	12	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
17	SKILL_ROBIN5	엘케인맨티스 소환	PASSIVE	5	0	0	36	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
18	SKILL_ROBIN6	에어크래쉬	ACTIVE	0	10	FPS * 10	0	ICONKIND_SKILL	GRADE_NORMAL	ROBIN_SKILL_AIRCRASH	0	0	0	0	0	0	0	0	0	0	0	0	0	100
19	SKILL_ROBIN7	마구찌르기	ACTIVE	0	30	FPS * 15	1	ICONKIND_SKILL	GRADE_SET	ROBIN_SKILL_STAB	0	0	0	0	0	0	0	0	0	0	0	0	0	100
20	SKILL_ROBIN8	부스트슬래쉬	ACTIVE	0	20	FPS * 15	2	ICONKIND_SKILL	GRADE_SUPERIOR	ROBIN_SKILL_BOOSTSLASH	0	0	0	0	0	0	0	0	0	0	0	0	0	100
21	SKILL_ROBIN9	하이퍼차지	ACTIVE	0	25	FPS * 15	3	ICONKIND_SKILL	GRADE_SUPERIOR	ROBIN_SKILL_HYPERCHARGE	0	0	0	0	0	0	0	0	0	0	0	0	0	100
22	SKILL_ROBIN10	소울크래쉬	ACTIVE	0	35	FPS * 15	4	ICONKIND_SKILL	GRADE_SET	ROBIN_SKILL_SOULCRASH	0	0	0	0	0	0	0	0	0	0	0	0	0	100
23	SKILL_ROBIN11	앱솔루트피어스	ACTIVE	0	50	FPS * 20	5	ICONKIND_SKILL	GRADE_EPIC	ROBIN_SKILL_ABSOLUTEPIERCE	0	0	0	0	0	0	0	0	0	0	0	0	0	100
24	SKILL_ROBIN12	멸살연참	ACTIVE	0	70	FPS * 25	15	ICONKIND_SKILL	GRADE_LEGEND	ROBIN_SKILL_KILLALL	0	0	0	0	0	0	0	0	0	0	0	0	0	100
25	SKILL_ROBIN13	테트라쉐도우 소환	ACTIVE	10	50	FPS * 25	35	ICONKIND_SKILL	GRADE_EPIC	ROBIN_SKILL_DEFENSE	0	0	0	0	0	0	0	0	0	0	0	0	0	100
26	SKILL_ROBIN14	다크나이트 소환	ACTIVE	10	40	FPS * 25	17	ICONKIND_SKILL	GRADE_EPIC	ROBIN_SKILL_BARRIER	0	0	0	0	0	0	0	0	0	0	0	0	0	100
27	SKILL_ROBIN15	라베스 소환	ACTIVE	2	50	FPS * 25	9	ICONKIND_SKILL	GRADE_EPIC	ROBIN_SKILL_HPRESTORE	0	0	0	0	0	0	0	0	0	0	0	0	0	100
28	SKILL_ROBIN16	엘케인 소환	ACTIVE	2	50	FPS * 25	10	ICONKIND_SKILL	GRADE_EPIC	ROBIN_SKILL_MPRESTORE	0	0	0	0	0	0	0	0	0	0	0	0	0	100
29	SKILL_ROBIN17	로라공주 소환	ACTIVE	25	50	FPS * 25	11	ICONKIND_SKILL	GRADE_EPIC	ROBIN_SKILL_REFLECTOR	0	0	0	0	0	0	0	0	0	0	0	0	0	100
30	SKILL_COMMON_DIANA1	대쉬어택	PASSIVE	1	0	0	29	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
31	SKILL_COMMON_DIANA2	2단점프	PASSIVE	1	0	0	30	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
32	SKILL_COMMON_DIANA3	슈퍼대쉬	PASSIVE	1	0	0	21	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
33	SKILL_COMMON_DIANA4	정신단련	PASSIVE	1	0	0	22	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
34	SKILL_COMMON_DIANA5	찍기	PASSIVE	4	0	0	23	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
35	SKILL_COMMON_DIANA6	기력강화	PASSIVE	4	0	0	24	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
36	SKILL_COMMON_DIANA7	무기숙련	PASSIVE	2	0	0	31	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
37	SKILL_COMMON_DIANA8	방어구숙련	PASSIVE	2	0	0	26	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
38	SKILL_COMMON_DIANA9	약점파악	PASSIVE	1	0	0	32	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
39	SKILL_COMMON_DIANA10	약점공격	PASSIVE	5	0	0	33	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
40	SKILL_COMMON_DIANA11	뚝심	PASSIVE	4	0	0	25	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
41	SKILL_COMMON_DIANA12	정조준	PASSIVE	1	0	0	27	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
42	SKILL_COMMON_DIANA13	신속회피	PASSIVE	1	0	0	28	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
43	SKILL_DIANA1	매의 눈	PASSIVE	67	0	0	17	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
44	SKILL_DIANA2	사격숙련	PASSIVE	2	0	0	18	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
45	SKILL_DIANA3	아드레날린	PASSIVE	2	0	0	36	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
46	SKILL_DIANA4	활성화	PASSIVE	10	0	0	5	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
47	SKILL_DIANA5	집중력유지	PASSIVE	5	0	0	20	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
48	SKILL_DIANA6	3웨이	ACTIVE	0	60	FPS * 15	6	ICONKIND_SKILL	GRADE_NORMAL	DIANA_SKILL_3WAY	0	0	0	0	0	0	0	0	0	0	0	0	0	100
49	SKILL_DIANA7	리플렉션빔	ACTIVE	0	30	FPS * 10	11	ICONKIND_SKILL	GRADE_NORMAL	DIANA_SKILL_LASER	0	0	0	0	0	0	0	0	0	0	0	0	0	100
50	SKILL_DIANA8	헬파이어	ACTIVE	0	50	FPS * 20	12	ICONKIND_SKILL	GRADE_NORMAL	DIANA_SKILL_FLAMER	0	0	0	0	0	0	0	0	0	0	0	0	0	100
51	SKILL_DIANA9	로켓런쳐	ACTIVE	0	40	FPS * 15	37	ICONKIND_SKILL	GRADE_NORMAL	DIANA_SKILL_BOMBSHOT	0	0	0	0	0	0	0	0	0	0	0	0	0	100
52	SKILL_DIANA10	호밍미사일	ACTIVE	0	50	FPS * 15	39	ICONKIND_SKILL	GRADE_NORMAL	DIANA_SKILL_GUIDEDSHOT	0	0	0	0	0	0	0	0	0	0	0	0	0	100
53	SKILL_DIANA11	킬링존	ACTIVE	0	100	FPS * 25	1	ICONKIND_SKILL	GRADE_NORMAL	DIANA_SKILL_SPRAYSHOT	0	0	0	0	0	0	0	0	0	0	0	0	0	100
54	SKILL_DIANA12	오비탈레이져	ACTIVE	0	150	FPS * 25	14	ICONKIND_SKILL	GRADE_NORMAL	DIANA_SKILL_SATELLITESHOT	0	0	0	0	0	0	0	0	0	0	0	0	0	100
55	SKILL_DIANA13	리커버리	ACTIVE	25	100	FPS * 20	38	ICONKIND_SKILL	GRADE_NORMAL	DIANA_SKILL_HEALSHOT	0	0	0	0	0	0	0	0	0	0	0	0	0	100
56	SKILL_DIANA14	스킬데미지업	ACTIVE	4	100	FPS * 20	15	ICONKIND_SKILL	GRADE_NORMAL	DIANA_SKILL_FEELUP	0	0	0	0	0	0	0	0	0	0	0	0	0	100
57	SKILL_DIANA15	HP흡수	ACTIVE	2	100	FPS * 20	9	ICONKIND_SKILL	GRADE_NORMAL	DIANA_SKILL_VAMPIRE	0	0	0	0	0	0	0	0	0	0	0	0	0	100
58	SKILL_DIANA16	치명타확률업	ACTIVE	2	100	FPS * 20	8	ICONKIND_SKILL	GRADE_NORMAL	DIANA_SKILL_FOCUS	0	0	0	0	0	0	0	0	0	0	0	0	0	100
59	SKILL_DIANA17	적방어력무시	ACTIVE	10	100	FPS * 20	16	ICONKIND_SKILL	GRADE_NORMAL	DIANA_SKILL_FAMAS	0	0	0	0	0	0	0	0	0	0	0	0	0	100
60	SKILL_COMMON_MAXX1	대쉬어택	PASSIVE	1	0	0	29	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
61	SKILL_COMMON_MAXX2	2단점프	PASSIVE	1	0	0	30	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
62	SKILL_COMMON_MAXX3	슈퍼대쉬	PASSIVE	1	0	0	21	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
63	SKILL_COMMON_MAXX4	정신단련	PASSIVE	1	0	0	22	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
64	SKILL_COMMON_MAXX5	찍기	PASSIVE	4	0	0	23	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
65	SKILL_COMMON_MAXX6	기력강화	PASSIVE	4	0	0	24	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
66	SKILL_COMMON_MAXX7	무기숙련	PASSIVE	2	0	0	31	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
67	SKILL_COMMON_MAXX8	방어구숙련	PASSIVE	2	0	0	26	ICONKIND_SKILL	GRADE_NORMAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
