#한 행이 하나다. 여러 파일 여러 배열에 흩어져 있던 것을 모은 것.
#값은 소스에 적힌 글자 그대로다. 이름을 숫자로 바꾸지 않는다.
#id는 계약이다. 중간에 끼우지 말고 항상 맨 끝에 (content/README.md).
#\N은 그 배열에 이 번호가 없다는 뜻이다.
id	enum_name	label	max_bet	heart	gold
0			5	1	10000
1			5	1	20000
2			5	1	30000
3			5	1	50000
4			5	1	100000
5			5	1	150000
6			6	2	200000
7			6	2	300000
8			6	2	500000
9			6	2	800000
10			6	2	1000000
11			6	2	1200000
12			7	3	1500000
13			7	3	2000000
14			7	3	2500000
15			7	3	3000000
16			7	3	4000000
17			7	3	5000000
18			8	5	6000000
19			8	5	8000000
20			8	5	10000000
21			8	5	12000000
22			8	10	15000000
23			8	10	20000000
24			8	10	25000000
25			8	10	30000000
26			8	10	35000000
27			8	10	40000000
28			8	10	45000000
29			8	10	50000000
30			8	10	55000000
31			8	10	60000000
32			8	10	65000000
33			8	10	70000000
34			8	10	80000000
35			8	10	90000000
36			8	10	100000000
37			8	10	110000000
38			8	10	120000000
39			8	10	150000000
